language,experiment,operation,size_mib,median_ms,throughput_mib_s
python,pipeline,copy_pipeline,1,1.4999000004536356,666.711113872629
python,pipeline,view_pipeline,1,0.5967000006421586,1675.884027021647
python,pipeline,copy_pipeline,2,3.9107000002331915,511.417393275051
python,pipeline,view_pipeline,2,0.8441999998467509,2369.106847148855
python,pipeline,copy_pipeline,4,6.005499999446329,666.0561152891144
python,pipeline,view_pipeline,4,1.9623999996838393,2038.3204242990405
python,pipeline,copy_pipeline,8,12.363700000605604,647.0554930650324
python,pipeline,view_pipeline,8,4.92110000050161,1625.6528010372795
python,pipeline,copy_pipeline,16,22.603200000048673,707.8643731845732
python,pipeline,view_pipeline,16,6.769300000087242,2363.6121902994096
python,pipeline,copy_pipeline,32,57.875300000887364,552.912900658992
python,pipeline,view_pipeline,32,18.426499999804946,1736.6293110649735
python,pipeline,copy_pipeline,64,105.68120000061754,605.5949402507355
python,pipeline,view_pipeline,64,27.419600000030186,2334.096777485067
cpp,pipeline,copy_pipeline,1,2.3686,422.19
cpp,pipeline,view_pipeline,1,1.4433,692.857
cpp,pipeline,copy_pipeline,2,4.6049,434.32
cpp,pipeline,view_pipeline,2,3.1245,640.102
cpp,pipeline,copy_pipeline,4,7.8444,509.918
cpp,pipeline,view_pipeline,4,7.2122,554.616
cpp,pipeline,copy_pipeline,8,12.8815,621.046
cpp,pipeline,view_pipeline,8,10.8091,740.117
cpp,pipeline,copy_pipeline,16,30.6995,521.181
cpp,pipeline,view_pipeline,16,26.1919,610.876
cpp,pipeline,copy_pipeline,32,55.8478,572.986
cpp,pipeline,view_pipeline,32,48.2592,663.086
cpp,pipeline,copy_pipeline,64,113.263,565.056
cpp,pipeline,view_pipeline,64,74.7666,855.997
rust,pipeline,copy_pipeline,1,0.41,2439.0243842950626
rust,pipeline,view_pipeline,1,0.0896,11160.714161152744
rust,pipeline,copy_pipeline,2,1.8373,1088.5538556095607
rust,pipeline,view_pipeline,2,0.1852,10799.1360108038
rust,pipeline,copy_pipeline,4,3.6689000000000003,1090.2450322739116
rust,pipeline,view_pipeline,4,0.3702,10804.970257144867
rust,pipeline,copy_pipeline,8,5.1034,1567.5823957425282
rust,pipeline,view_pipeline,8,0.7631,10483.553911042389
rust,pipeline,copy_pipeline,16,11.2405,1423.424224774394
rust,pipeline,view_pipeline,16,1.6142,9912.030721154732
rust,pipeline,copy_pipeline,32,21.4055,1494.9428884401232
rust,pipeline,view_pipeline,32,3.1778,10069.859648162294
rust,pipeline,copy_pipeline,64,52.1883,1226.328506557479
rust,pipeline,view_pipeline,64,7.877199999999999,8124.714364479167
