language,experiment,size_mib,copy_rss_delta,view_rss_delta
python,memory_pressure,1,6.0234375,0.0
python,memory_pressure,2,12.0234375,-1.0625
python,memory_pressure,4,24.04296875,-2.04296875
python,memory_pressure,8,48.0234375,-4.0625
python,memory_pressure,16,96.02734375,-8.00390625
python,memory_pressure,32,192.03125,-16.00390625
python,memory_pressure,64,384.03515625,-32.00390625
python,memory_pressure,128,768.04296875,-64.0078125
cpp,memory_pressure,1,6,0
cpp,memory_pressure,2,12,0
cpp,memory_pressure,4,24,0
cpp,memory_pressure,8,48,0
cpp,memory_pressure,16,96,0
cpp,memory_pressure,32,192,0
cpp,memory_pressure,64,384,0
cpp,memory_pressure,128,768,0
